OBJECTID,ZIP,POSTAL,STATE,EDITOR,DATE_MOD,code,ZIP_TYPE,Shape__Area,Shape__Length
82,77026,HOUSTON,TX,Brian Klinger,2011/06/14 00:00:00+00,HA,STANDARD,182041958.042969,59305.9398311068
83,77093,HOUSTON,TX,Brian Klinger,2011/07/08 00:00:00+00,HA,STANDARD,333729996.378906,85020.4303238642
84,77450,KATY,TX,Ahmed Giwa,2011/07/19 00:00:00+00,HA,STANDARD,256874425.96875,95630.0060568922
85,77079,HOUSTON,TX,Ray A Smith Jr,2011/06/21 00:00:00+00,HA,STANDARD,214793411.28125,83297.8810720205
86,77094,HOUSTON,TX,Ray A Smith Jr,2011/06/21 00:00:00+00,HA,STANDARD,461744454.632813,107335.732387689
87,77077,HOUSTON,TX,Ray A Smith Jr,2011/06/14 00:00:00+00,HA,STANDARD,248179968.039063,80837.970688854
88,77082,HOUSTON,TX,Brian Klinger,2011/07/11 00:00:00+00,HA,STANDARD,330655108.027344,106357.863277375
89,77040,HOUSTON,TX,Ayuna Tsydypova,2011/06/09 00:00:00+00,HA,STANDARD,388603934.734375,115196.569431258
90,77065,HOUSTON,TX,Ayuna Tsydypova,2011/06/15 00:00:00+00,HA,STANDARD,237548927.839844,100623.358350141
91,77043,HOUSTON,TX,Brian Klinger,2011/07/11 00:00:00+00,HA,STANDARD,318499868.703125,94271.1936330246
92,77084,HOUSTON,TX,Brian Klinger,2011/07/11 00:00:00+00,HA,STANDARD,884658542.820313,157184.429145888
93,77041,HOUSTON,TX,Wenge Fu,2012/02/16 00:00:00+00,HA,STANDARD,600150913.554688,139709.119402152
94,77095,HOUSTON,TX,Ayuna Tsydypova,2011/06/16 00:00:00+00,HA,STANDARD,409999044.09375,113872.689588152
95,77059,HOUSTON,TX,Ayuna Tsydypova,2011/06/21 00:00:00+00,HA,STANDARD,288488329.902344,80314.9900565077
96,77505,PASADENA,TX,Ayuna Tsydypova,2011/06/20 00:00:00+00,HA,STANDARD,231659780.058594,85538.457810511
97,77401,BELLAIRE,TX,Ahmed Giwa,2011/07/19 00:00:00+00,HA,STANDARD,103610563.230469,57698.2932155151
98,77071,HOUSTON,TX,Brian Klinger,2011/07/12 00:00:00+00,HA,STANDARD,114851345.964844,62703.3638859084
99,77035,HOUSTON,TX,Brian Klinger,2011/07/12 00:00:00+00,HA,STANDARD,168429465.945313,83743.2860475319
100,77096,HOUSTON,TX,Brian Klinger,2011/07/12 00:00:00+00,HA,STANDARD,171203616.191406,66407.6165009087
101,77027,HOUSTON,TX,Brian Klinger,2011/06/14 00:00:00+00,HA,STANDARD,78026110.6328125,51285.7527406834
102,77019,HOUSTON,TX,Brian Klinger,2011/06/14 00:00:00+00,HA,STANDARD,103668436.4375,72934.9074468207
103,77098,HOUSTON,TX,Brian Klinger,2011/06/14 00:00:00+00,HA,STANDARD,49411544.03125,34214.7090698284
104,77520,BAYTOWN,TX,Brian Klinger,2011/07/08 00:00:00+00,HA,STANDARD,874565619.386719,187406.575965385
105,77070,HOUSTON,TX,Brian Klinger,2011/07/08 00:00:00+00,HA,STANDARD,376414794.46875,126179.965989898
106,77053,HOUSTON,TX,Ray A Smith Jr,2011/06/07 00:00:00+00,FB,STANDARD,109862130.503906,53785.6864597944
107,77396,HUMBLE,TX,Brian Klinger,2011/06/17 00:00:00+00,HA,STANDARD,687018010.683594,140064.092597644
108,77449,KATY,TX,Ayuna Tsydypova,2011/06/08 00:00:00+00,HA,STANDARD,743016680.839844,146425.520032532
109,77055,HOUSTON,TX,Ayuna Tsydypova,2011/06/16 00:00:00+00,HA,STANDARD,225773263.734375,100073.764257904
110,77080,HOUSTON,TX,Ayuna Tsydypova,2011/06/13 00:00:00+00,HA,STANDARD,182556178.210938,74180.372384447
111,77523,BAYTOWN,TX,Ayuna Tsydypova,2011/06/01 00:00:00+00,CH,STANDARD,104448203.367188,79517.65699123
112,77379,SPRING,TX,Brian Klinger,2011/07/07 00:00:00+00,HA,STANDARD,723616189.410156,130367.470897122
113,77381,SPRING,TX,Ayuna Tsydypova,2011/06/07 00:00:00+00,MO,STANDARD,974997.375,18451.4482403254
114,77380,SPRING,TX,Ayuna Tsydypova,2011/06/07 00:00:00+00,MO,STANDARD,860584.27734375,23594.8363957955
115,77073,HOUSTON,TX,Ayuna Tsydypova,2011/06/17 00:00:00+00,HA,STANDARD,457854951.214844,132506.584699931
116,77081,HOUSTON,TX,Brian Klinger,2011/06/15 00:00:00+00,HA,STANDARD,85768407.5117188,64256.1815645381
117,77069,HOUSTON,TX,Ayuna Tsydypova,2011/06/14 00:00:00+00,HA,STANDARD,130373549.871094,62396.3985794132
118,77068,HOUSTON,TX,Ayuna Tsydypova,2011/06/14 00:00:00+00,HA,STANDARD,109840219.414063,65260.4115900789
119,77477,STAFFORD,TX,Ray A Smith Jr,2011/06/21 00:00:00+00,HA,STANDARD,16102801.0820313,40418.107297369
120,77562,HIGHLANDS,TX,Brian Klinger,2011/07/08 00:00:00+00,HA,STANDARD,394217792.628906,126323.0198125
121,77058,HOUSTON,TX,Ayuna Tsydypova,2011/06/21 00:00:00+00,HA,STANDARD,317498402.949219,104438.532926665
122,77598,WEBSTER,TX,Ayuna Tsydypova,2011/06/21 00:00:00+00,HA,STANDARD,359605167.492188,127299.372087831
123,77365,PORTER,TX,Ayuna Tsydypova,2011/06/08 00:00:00+00,MO,STANDARD,42441682.6640625,43659.9652540987
124,77584,PEARLAND,TX,Ayuna,2011/07/11 00:00:00+00,BZ,STANDARD,771601.1640625,28652.1605535442
125,77375,TOMBALL,TX,Ayuna Tsydypova,2011/06/06 00:00:00+00,HA,STANDARD,973263052.304688,200800.184832353
126,77484,WALLER,TX,Ayuna Tsydypova,2011/05/27 00:00:00+00,WL,STANDARD,909021807.609375,184820.054332128
127,77498,SUGAR LAND,TX,Ray A Smith Jr,2011/06/07 00:00:00+00,FB,STANDARD,990320.84375,7690.22358305018
128,77494,KATY,TX,Ray A Smith Jr,2011/06/07 00:00:00+00,FB,STANDARD,75302194.4257813,47201.1649587714
129,77407,RICHMOND,TX,Ray A Smith Jr,2011/06/07 00:00:00+00,FB,STANDARD,55804.0390625,1188.43566876223
130,77493,KATY,TX,Ayuna Tsydypova,2011/05/27 00:00:00+00,WL,STANDARD,1245619505.35938,193716.616439009
131,77447,HOCKLEY,TX,Ayuna Tsydypova,2011/05/27 00:00:00+00,WL,STANDARD,1820145189.9375,284792.700469399
132,77346,HUMBLE,TX,Brian Klinger,2011/07/08 00:00:00+00,HA,STANDARD,617032612.660156,126582.618386401
133,77521,BAYTOWN,TX,Brian Klinger,2011/07/08 00:00:00+00,HA,STANDARD,1065108527.84766,181234.672953403
134,77532,CROSBY,TX,Brian Klinger,2011/07/08 00:00:00+00,HA,STANDARD,2426383857.31641,229139.140459517
135,77345,KINGWOOD,TX,Brian Klinger,2011/06/20 00:00:00+00,HA,STANDARD,234000707.734375,83511.1242812571
136,77339,KINGWOOD,TX,Brian Klinger,2011/06/20 00:00:00+00,HA,STANDARD,364905459.101563,85653.6733278563
137,77003,HOUSTON,TX,Wenge Fu,2011/10/07 00:00:00+00,HA,STANDARD,73860519.1914063,57773.4331497187
138,77011,HOUSTON,TX,Brian Klinger,2011/06/13 00:00:00+00,HA,STANDARD,102004117.59375,58615.2396850692
139,77571,LA PORTE,TX,Ayuna Tsydypova,2011/06/20 00:00:00+00,HA,STANDARD,1084687767.42969,197802.178897229
140,77536,DEER PARK,TX,Ayuna Tsydypova,2011/06/20 00:00:00+00,HA,STANDARD,412519055.8125,107980.3815009
141,77377,TOMBALL,TX,Brian Klinger,2011/07/07 00:00:00+00,HA,STANDARD,1002153237.58984,240964.829703226
142,77433,CYPRESS,TX,Ayuna Tsydypova,2011/06/08 00:00:00+00,HA,STANDARD,1766761505.32422,281582.379661153
143,77429,CYPRESS,TX,Ayuna Tsydypova,2011/06/08 00:00:00+00,HA,STANDARD,1036854469.22656,213363.05392609
144,77036,HOUSTON,TX,Ray A Smith Jr,2011/06/15 00:00:00+00,HA,STANDARD,207711431.339844,77390.6915780005
145,77074,HOUSTON,TX,Ray A Smith Jr,2011/06/15 00:00:00+00,HA,STANDARD,160163428.84375,90493.3938160315
146,77338,HUMBLE,TX,Brian Klinger,2011/06/17 00:00:00+00,HA,STANDARD,760487440.3125,194328.658626799
147,77018,HOUSTON,TX,Ayuna Tsydypova,2011/06/13 00:00:00+00,HA,STANDARD,188712815.855469,77229.4456528665
148,77022,HOUSTON,TX,Ayuna Tsydypova,2011/06/11 00:00:00+00,HA,STANDARD,164863951.113281,61382.5627056914
149,77382,SPRING,TX,Ayuna Tsydypova,2011/06/06 00:00:00+00,MO,STANDARD,411972.43359375,10056.1054812213
150,77354,MAGNOLIA,TX,Ayuna Tsydypova,2011/06/06 00:00:00+00,MO,STANDARD,1765435.2421875,42276.278198652
151,77386,SPRING,TX,Ayuna Tsydypova,2011/06/07 00:00:00+00,MO,STANDARD,5616758.00390625,75125.0495704582
152,77388,SPRING,TX,Ayuna Tsydypova,2011/06/13 00:00:00+00,HA,STANDARD,373860096.816406,114313.726198672
153,77389,SPRING,TX,Ayuna Tsydypova,2011/06/16 00:00:00+00,HA,STANDARD,602229753.875,157809.320591687
154,77327,CLEVELAND,TX,Brian Klinger,2011/05/26 00:00:00+00,LB,STANDARD,2554.37109375,20746.7065358836
155,77357,NEW CANEY,TX,Brian Klinger,2011/05/26 00:00:00+00,MO,STANDARD,81714617.6992188,55102.1565181856
