"","Name","Address","ZIP","Type"
"30","Robinson-Westchase Neighborhood Library","3223 Wilcrest Dr. Houston, TX 77042","77042","Library"
"31","Scenic Woods Regional Library","10677 Homestead Rd. Houston, TX 77016","77016","Library"
"32","Shepard-Acres Homes Neighborhood Library","8501 West Montgomery Rd. Houston, TX 77088","77088","Library"
"33","Smith Neighborhood Library","3624 Scott St. Houston, TX 77004","77004","Library"
"34","Stanaker Neighborhood Library","611 S Sgt Macario Garcia St. Houston, TX 77011","77011","Library"
"35","Stimley-Blue Ridge Neighborhood Library","7007 West Fuqua St. Houston, TX 77489","77489","Library"
"36","TECHLink Alief","11903 Bellaire Blvd, Houston, TX 77072","77072","Library"
"37","TECHLink Dixon","8002 Hirsch Rd. Houston, TX 77016","77016","Library"
"38","TECHLink Scenic Woods","10677 Homestead Rd. Houston, TX 77016","77016","Library"
"39","Tuttle Neighborhood Library","702 Kress St. Houston, TX 77020","77020","Library"
"40","Vinson Neighborhood Library","3810 West Fuqua St. Houston, TX 77045","77045","Library"
"41","Walter Neighborhood Library","7660 Clarewood Dr. Houston, TX 77036","77036","Library"
"42","Walker Neighborhood Library","5505 Belrose, Houston, Texas 77035","77035","Library"
"43","Young Neighborhood Library","5107 Griggs Rd. Houston, TX 77021","77021","Library"
"44","Aldine Branch Library","11331 Airline Dr Houston, TX 77037","77037","Library"
"45","Atascocita Branch Library","19520 Pinehurst Trail Drive Humble, TX 77346","77346","Library"
"46","Baldwin Boettcher Branch Library @ Mercer Park","22306 Aldine Westfield Road Humble, TX 77338","77338","Library"
"47","Barbara Bush Branch Library","6817 Cypresswood Drive Spring, TX 77379","77379","Library"
"48","Clear Lake City-County Freeman Branch Library","16616 Diana Lane Houston, TX 77062","77062","Library"
"49","Crosby Edith Fae Cook Cole Branch Library","135 Hare Road Crosby, TX 77532","77532","Library"
"50","Evelyn Meador Branch Library","2400 North Meyer Avenue Seabrook, TX 77586","77586","Library"
"51","Fairbanks Branch Library","7122 Gessner Road Houston, TX 77040","77040","Library"
"52","Galena Park Branch Library","1500 Keene Street Galena Park, TX 77547","77547","Library"
"53","Harris County Robert W. Hainsworth Law Library","1019 Congress Avenue Houston, TX 77002","77002","Library"
"54","HCPL TMC Library","1133 John Freeman Boulevard Houston, TX 77030","77030","Library"
"55","High Meadows Branch Library","4500 Aldine Mail Route Houston, TX 77039","77039","Library"
"56","Jacinto City Branch Library","921 Akron Street Houston, TX 77029","77029","Library"
"57","Katherine Tyra Branch Library @ Bear Creek","16719 Clay Road Houston, TX 77084","77084","Library"
"58","Katy Branch Library","5414 Franz Road Katy, TX 77493","77493","Library"
"59","Kingwood Branch Library","4400 Bens View Lane Kingwood, TX 77339","77339","Library"
"60","La Porte Branch Library","600 South Broadway Street La Porte, TX 77571","77571","Library"
"61","Lone Star College-CyFair Library","9191 Barker Cypress Road Cypress, TX 77433","77433","Library"
"62","Lone Star College-Tomball Community Library","30555 Tomball Parkway Tomball, TX 77375","77375","Library"
"63","Maud Smith Marks Branch Library","1815 Westgreen Boulevard Katy, TX 77450","77450","Library"
"64","North Channel Branch Library","15741 Wallisville Road Houston, TX 77049","77049","Library"
"65","Northwest Branch Library","11355 Regency Green Drive Cypress, TX 77429","77429","Library"
"66","Octavia Fields Branch Library","1503 South Houston Avenue Humble, TX 77338","77338","Library"
"67","Parker Williams Branch Library","10851 Scarsdale Boulevard Houston, TX 77089","77089","Library"
"68","South Houston Branch Library","607 Avenue A South Houston, TX 77587","77587","Library"
"69","Spring Branch Memorial Branch Library","930 Corbindale Road Houston, TX 77024","77024","Library"
"70","Stratford Branch Library","509 Stratford Street Highlands, TX 77562","77562","Library"
"71","West University Branch Library","6108 Auden Street Houston, TX 77005","77005","Library"
"72","RICHARD MILBURN ACADEMY HOUSTON (SUBURBAN)","713 E AIRTEX DR HOUSTON TX 77073","77073","High School"
"73","RICHARD MILBURN ACADEMY PASADENA","320 SOUTHMORE AVE PASADENA TX 77506","77506","High School"
"74","SST THE WOODLANDS","27440 KUYKENDAHL RD THE WOODLANDS TX 77375","77375","Elementary-Middle School"
"75","SST EXCELLENCE","330 N SAM HOUSTON PKWY E HOUSTON TX 77060","77060","K-12 School"
"76","SST SPRING","2105 LOUETTA RD SPRING TX 77388","77388","Elementary-Middle School"
"77","SST CHAMPIONS","15015 T C JESTER BLVD HOUSTON TX 77068","77068","K-12 School"
"78","SST ADVANCEMENT","12801 BRANT ROCK DR HOUSTON TX 77082","77082","Elementary-Middle School"
"79","BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY TIDWELL","1055 W TIDWELL RD HOUSTON TX 77091","77091","Elementary-Middle School"
"80","ARROW ACADEMY - LIBERATION ACADEMY","11600 W AIRPORT BLVD MEADOWS PLACE TX 77477","77477","Elementary-Middle School"
"81","ARROW ACADEMY - HARVEST PREPARATORY ACADEMY","17770 IMPERIAL VALLEY DR HOUSTON TX 77060","77060","Elementary-Middle School"
"82","ARROW ACADEMY - CHAMPIONS ACADEMY","2700 CYPRESS CREEK PKWY HOUSTON TX 77068","77068","Elementary School"
"83","BROOKESMITH QUEST","1301 MEMORIAL DR BAYTOWN TX 77520","77520","K-12 School"
"84","BLESSED KIDZ","3917 KRESS ST HOUSTON TX 77026","77026","K-12 School"
"85","TRINITY CHARTER SCHOOLS - HOUSTON CAMPUS","262 N SAM HOUSTON PKWY HOUSTON TX 77060","77060","K-12 School"
"86","TRINITY CHARTER SCHOOLS - TOMBALL CAMPUS","27708 TOMBALL PKWY TOMBALL TX 77375","77375","Middle-High School"
"87","TEXANS CAN ACADEMY - HOUSTON NORTH","3401 HARDY ST HOUSTON TX 77009","77009","High School"
"88","TEXANS CAN ACADEMY - HOUSTON SOUTHWEST","10914 S GESSNER HOUSTON TX 77071","77071","High School"
"89","EVOLUTION ACADEMY HOUSTON","2414 SPRING CYPRESS RD SPRING TX 77388","77388","High School"
"90","ILTEXAS KATY EL","24406 FRANZ RD KATY TX 77493","77493","Elementary School"
"91","ILTEXAS KATY MIDDLE","24406 FRANZ RD KATY TX 77493","77493","Middle School"
"92","ILTEXAS WESTPARK EL","15300 BELLAIRE BLVD HOUSTON TX 77083","77083","Elementary School"
"93","ILTEXAS WESTPARK MIDDLE","15300 BELLAIRE BLVD HOUSTON TX 77083","77083","Middle School"
"94","ILTEXAS HOUSTON WINDMILL LAKES EL","9898 WINDMILL LAKES BLVD HOUSTON TX 77075","77075","Elementary School"
"95","ILTEXAS HOUSTON WINDMILL LAKES MIDDLE","9898 WINDMILL LAKES BLVD HOUSTON TX 77075","77075","Middle School"
"96","ILTEXAS HOUSTON OREM EL","5445 E OREM DR HOUSTON TX 77048","77048","Elementary School"
"97","ILTEXAS HOUSTON OREM MIDDLE","5445 E OREM DR HOUSTON TX 77048","77048","Middle School"
"98","ILTEXAS HOUSTON WINDMILL LAKES OREM H S","9901 WINDMILL LAKES BLVD HOUSTON TX 77075","77075","High School"
"99","PREMIER H S-HOUSTON (CHAMPIONS)","3355 FM 1960 RD W STE 1A AND 1B HOUSTON TX 77068","77068","High School"
"100","PREMIER H S HOUSTON GALLERY NORTH","6006 N FWY # F HOUSTON TX 77076","77076","High School"
"101","PREMIER H S - HOUSTON - HOBBY","10222 GULF FWY HOUSTON TX 77034","77034","High School"
"102","PREMIER H S - HOUSTON (SHARPSTOWN)","6615 ROOKIN ST HOUSTON TX 77074","77074","High School"
"103","PREMIER H S - HOUSTON (GREENSPOINT)","250 N SAM HOUSTON PKWY E HOUSTON TX 77060","77060","High School"
"104","KATHLEEN JOERGER LINDSEY EL","2431 JOAN COLLIER TRCE KATY TX 77494","77494","Elementary School"
"105","TAMARRON EL","29616 RILEYS RIDGE KATY TX 77494","77494","Elementary School"
"106","WILLOWRIDGE H S","16301 CHIMNEY ROCK HOUSTON TX 77053","77053","High School"
"107","THURGOOD MARSHALL H S","1220 BUFFALO RUN MISSOURI CITY TX 77489","77489","High School"
"108","MISSOURI CITY MIDDLE","202 MARTIN LN MISSOURI CITY TX 77489","77489","Middle School"
"109","CHRISTA MCAULIFFE MIDDLE","16650 S POST OAK HOUSTON TX 77053","77053","Middle School"
"110","HODGES BEND MIDDLE","16510 BISSONNET HOUSTON TX 77083","77083","Middle School"
"111","E A JONES EL","302 MARTIN LN MISSOURI CITY TX 77489","77489","Elementary School"
"112","RIDGEMONT EL","4910 RAVEN RIDGE DR HOUSTON TX 77053","77053","Elementary School"
"113","MEADOWS EL","12037 PENDER LN MEADOWS PLACE TX 77477","77477","Elementary School"
"114","RIDGEGATE EL","6015 W RIDGECREEK DR HOUSTON TX 77053","77053","Elementary School"
"115","HUNTERS GLEN EL","695 INDEPENDENCE BLVD MISSOURI CITY TX 77489","77489","Elementary School"
"116","MISSION WEST EL","7325 CLODINE RD HOUSTON TX 77083","77083","Elementary School"
"117","EDGAR GLOVER JR EL","1510 COLUMBIA BLUE DR MISSOURI CITY TX 77489","77489","Elementary School"
"118","ARIZONA FLEMING EL","14850 BISSONNET ST HOUSTON TX 77083","77083","Elementary School"
"119","WALTER MOSES BURTON EL","1625 HUNTER GREEN LN FRESNO TX 77545","77545","Elementary School"
"120","LULA BELLE GOODMAN EL","1100 W SYCAMORE FRESNO TX 77545","77545","Elementary School"
"121","MARY AUSTIN HOLLEY EL","16655 BISSONNET HOUSTON TX 77083","77083","Elementary School"
"122","ROSA PARKS EL","19101 CHIMNEY ROCK RD FRESNO TX 77545","77545","Elementary School"
"123","EL DAEP","1510 COLUMBIA BLUE DR MISSOURI CITY TX 77489","77489","Elementary School"
"124","RIDGEMONT EARLY LITERACY CENTER","5353 RIDGE CREEK DR HOUSTON TX 77053","77053","Early Education"
"125","HUNTERS GLEN EARLY LITERACY CENTER","695 INDEPENDENCE BLVD MISSOURI CITY TX 77489","77489","Early Education"
"126","BLUE RIDGE BRIARGATE EL","6241 MCHARD RD HOUSTON TX 77053","77053","Elementary School"
"127","MISSION BEND GLEN EL","16003 MISSION GLEN HOUSTON TX 77083","77083","Elementary School"
"128","STAFFORD H S","100 SPARTAN DR STAFFORD TX 77477","77477","High School"
"129","STAFFORD ADJUSTMENT CENTER","1625 STAFFORDSHIRE STAFFORD TX 77477","77477","Middle-High School"
"130","STAFFORD STEM MAGNET ACADEMY","200 STAFFORD PRIDE STAFFORD TX 77477","77477","Elementary-High School"
"131","FORT BEND CO ALTER","1633STAFFORDSHIRE RD STAFFORD TX 77477","77477","Elementary-High School"
"132","STAFFORD MIDDLE","1424 CONSTITUTION AVE STAFFORD TX 77477","77477","Middle School"
"133","STAFFORD ECC","1350 CONSTITUTION AVE STAFFORD TX 77477","77477","Early Education"
"134","STAFFORD EL","1250 CONSTITUTION AVE STAFFORD TX 77477","77477","Elementary School"
"135","ODYSSEY ACADEMY - WEBSTER","14650 OLD GALVESTON RD (HIGHWAY 3) WEBSTER TX 77598","77598","Elementary-Middle School"
"136","CLEAR LAKE H S","2929 BAY AREA BLVD HOUSTON TX 77058","77058","High School"
"137","CLEAR BROOK H S","4607 FM 2351 FRIENDSWOOD TX 77546","77546","High School"
"138","CLEAR VIEW H S","400 S WALNUT WEBSTER TX 77598","77598","High School"
"139","HARRIS CO JJAEP","2525 MURWORTH HOUSTON TX 77054","77054","Middle-High School"
"140","CLEAR PATH ALTERNATIVE SCHOOL","1001 MAGNOLIA AVE WEBSTER TX 77598","77598","Middle-High School"
"141","CLEAR HORIZONS EARLY COLLEGE H S","13735 BEAMER RD BOX 613 HOUSTON TX 77089","77089","High School"
"142","CLEAR LAKE INT","15545 EL CAMINO REAL HOUSTON TX 77062","77062","Middle School"
"143","SPACE CENTER INT","17400 SATURN LN HOUSTON TX 77058","77058","Middle School"
"144","BROOKSIDE INT","3535 E FM 528 FRIENDSWOOD TX 77546","77546","Middle School"
"145","WESTBROOK INT","302 W EL DORADO BLVD FRIENDSWOOD TX 77546","77546","Middle School"
"146","CLEAR LAKE CITY EL","1707 FAIRWIND RD HOUSTON TX 77062","77062","Elementary School"
"147","MARGARET S MCWHIRTER EL","300 PENNSYLVANIA WEBSTER TX 77598","77598","Elementary School"
"148","G H WHITCOMB EL","900 RESEDA DR HOUSTON TX 77062","77062","Elementary School"
"149","P H GREENE EL","2903 FRIENDSWOOD LINK RD WEBSTER TX 77598","77598","Elementary School"
"150","ARMAND BAYOU EL","16000 HICKORY KNOLL DR HOUSTON TX 77059","77059","Elementary School"
"151","C D LANDOLT EL","2104 PILGRIMS POINT FRIENDSWOOD TX 77546","77546","Elementary School"
"152","JOHN F WARD EL","1440 BOULDERCREST DR HOUSTON TX 77062","77062","Elementary School"
"153","BROOKWOOD EL","16850 MIDDLEBROOK DR HOUSTON TX 77059","77059","Elementary School"
"154","WEDGEWOOD EL","4000 FRIENDSWOOD LINK RD FRIENDSWOOD TX 77546","77546","Elementary School"
"155","NORTH POINTE EL","3200 ALMOND CREEK DR HOUSTON TX 77059","77059","Elementary School"
"156","FALCON PASS EL","2465 FALCON PASS DR HOUSTON TX 77062","77062","Elementary School"
"157","ARLYNE & ALAN WEBER EL","11955 BLACKHAWK BLVD HOUSTON TX 77089","77089","Elementary School"
"158","FRIENDSWOOD H S","702 GREENBRIAR DR FRIENDSWOOD TX 77546","77546","High School"
"159","GALVESTON CO J J A E P","302 LAUREL DR FRIENDSWOOD TX 77546","77546","Middle-High School"
"160","FRIENDSWOOD J H","1000 MANISON PKWY FRIENDSWOOD TX 77546","77546","Middle School"
"161","WESTWOOD EL","506 W EDGEWOOD FRIENDSWOOD TX 77546","77546","Elementary School"
"162","C W CLINE EL","1550 W BLVD FRIENDSWOOD TX 77546","77546","Elementary School"
"163","ZUE S BALES INT","211 STADIUM LN FRIENDSWOOD TX 77546","77546","Elementary School"
"164","WINDSONG EL","2100 W PARKWOOD FRIENDSWOOD TX 77546","77546","Elementary School"
"165","HIGHPOINT SCHOOL NORTH","11902 SPEARS RD HOUSTON TX 77067","77067","Middle-High School"
"166","HIGHPOINT SCHOOL EAST","8003 E SAM HOUSTON PKWY N HOUSTON TX 77049","77049","Middle-High School"
"167","ACADEMIC BEHAVIOR SCHOOL EAST","7703 S LOOP E HOUSTON TX 77012","77012","K-12 School"
"168","ACADEMIC BEHAVIOR SCHOOL WEST","7800 WESTGLEN HOUSTON TX 77063","77063","K-12 School"
"169","FORTIS ACADEMY","11902 SPEARS RD HOUSTON TX 77067","77067","High School"
"170","SER-NINOS CHARTER HIGH","5610 GULFTON HOUSTON TX 77081","77081","High School"
"171","SER-NINOS CHARTER MIDDLE","5610 GULFTON ST HOUSTON TX 77081","77081","Middle School"
"172","SER-NINOS CHARTER EL","5815 ALDER DR HOUSTON TX 77081","77081","Elementary School"
"173","SER-NINOS CHARTER EL II","5919 DASHWOOD DR HOUSTON TX 77081","77081","Elementary School"
"174","ARISTOI CLASSICAL UPPER SCHOOL","5610 MORTON RD KATY TX 77493","77493","Elementary-High School"
"175","ARISTOI CLASSICAL ACADEMY-CYPRESS","12332 PERRY RD HOUSTON TX 77070","77070","Elementary-Middle School"
"176","ARISTOI CLASSICAL ACADEMY","5618 11TH ST KATY TX 77493","77493","Elementary School"
"177","GEORGE I SANCHEZ CHARTER","6001 GULF FWY BLDG B3 HOUSTON TX 77023","77023","K-12 School"
"178","GEORGE I SANCHEZ NORTH","170 RITTENHOUSE ST HOUSTON TX 77076","77076","K-12 School"
"179","EARLY COLLEGE T-STEM ACADEMY","2950 BROADWAY ST HOUSTON TX 77017","77017","High School"
"180","EARLY COLLEGE STEM ACADEMY","2950 BROADWAY ST HOUSTON TX 77017","77017","Middle School"
"181","NORTH EAST STEM ACADEMY","10918 BENTLEY HOUSTON TX 77093","77093","Middle School"
"182","PSTEM ACADEMY","2950 BROADWAY ST HOUSTON TX 77017","77017","Elementary School"
"183","LEONEL CASTILLO EARLY CHILDHOOD STEM ACADEMY","2101 S ST HOUSTON TX 77009","77009","Early Education"
"184","RYSS STEM ACADEMY AT FIRST FRIENDS PASADENA","1062 FAIRMONT PKWY PASADENA TX 77054","77054","Elementary School"
"185","ACADEMY OF ACCELERATED LEARNING","6711 BELLFORT ST HOUSTON TX 77087","77087","Elementary-Middle School"
"186","HARRIS COUNTY JUVENILE DETENTION CENTER","1200 CONGRESS ST STE 6500 HOUSTON TX 77002","77002","Elementary-High School"
"187","LEADERSHIP ACADEMY","9120 KATY HOCKLEY RD KATY TX 77493","77493","Elementary School"
"188","EXCEL ACADEMY EDUCATION TRANSITION CENTER","6500 CHIMNEY ROCK HOUSTON TX 77081","77081","Elementary-High School"
"189","VARNETT CHARTER SCHOOL","5025 S WILLOW DR HOUSTON TX 77035","77035","Elementary-Middle School"
"190","THE VARNETT SCHOOL - NORTHEAST","8305 MESA DR HOUSTON TX 77028","77028","Elementary-Middle School"
"191","THE VARNETT SCHOOL - EAST","804A MAXEY RD HOUSTON TX 77013","77013","Elementary-Middle School"
"192","ALIEF MONTESSORI COMMUNITY SCHOOL","12013 6TH ST HOUSTON TX 77072","77072","Elementary-Middle School"
"193","AMIGOS POR VIDA-FRIENDS FOR LIFE CHARTER SCHOOL","5503 EL CAMINO DEL REY HOUSTON TX 77081","77081","Elementary School"
"194","FRIENDS FOR LIFE MIDDLE","5503 EL CAMINO DEL REY HOUSTON TX 77081","77081","Middle School"
"195","HOUSTON HEIGHTS CHARTER SCHOOL","1125 LAWRENCE ST HOUSTON TX 77008","77008","High School"
"196","HOUSTON GATEWAY ACADEMY - CORAL CAMPUS","1020 CORAL ST HOUSTON TX 77012","77012","K-12 School"
"197","HOUSTON GATEWAY ACADEMY INC ELITE COLLEGE PREP","7310 BOWIE HOUSTON TX 77012","77012","K-12 School"
"198","HOUSTON GATEWAY ACADEMY","3400 EVERGREEN DR HOUSTON TX 77087","77087","K-12 School"
"199","CALVIN NELMS H S","20625 CLAY RD KATY TX 77449","77449","High School"
"200","CALVIN NELMS MIDDLE","20625 CLAY RD KATY TX 77449","77449","Middle School"
"201","EMPOWERMENT H S","6400 WESTPARK DR STE 200 HOUSTON TX 77057","77057","High School"
"202","PHOENIX SCHOOL AT SOUTHWEST SCHOOLS","9920 W SAM HOUSTON PKWY S HOUSTON TX 77099","77099","K-12 School"
"203","DISCOVERY MIDDLE","6400 WESTPARK DR STE 200 HOUSTON TX 77057","77057","Middle School"
"204","SOUTHWEST SCHOOLS BISSONNET EL CAMPUS","8440 BISSONNET ST HOUSTON TX 77074","77074","Elementary School"
"205","SOUTHWEST SCHOOLS MANGUM EL CAMPUS","4515 MANGUM RD HOUSTON TX 77092","77092","Elementary School"
"206","TWO DIMENSIONS PREPARATORY ACADEMY","12121 VETERANS MEMORIAL DR STE 10 HOUSTON TX 77067","77067","Elementary-Middle School"
"207","TWO DIMENSIONS/VICKERY","12330 VICKERY ST HOUSTON TX 77039","77039","Elementary-Middle School"
"208","COMQUEST ACADEMY","207 N PEACH ST TOMBALL TX 77375","77375","K-12 School"
"209","YES PREP - SOUTHEAST","353 CRENSHAW RD HOUSTON TX 77034","77034","Middle-High School"
"210","YES PREP - SOUTHWEST","4411 ANDERSON RD HOUSTON TX 77053","77053","Middle-High School"
"211","YES PREP - EAST END","8401 LAWNDALE ST HOUSTON TX 77012","77012","Middle-High School"
"212","YES PREP - GULFTON","6565 DE MOSS DR HOUSTON TX 77074","77074","Middle-High School"
"213","YES PREP - WEST","10535 HARWIN DR HOUSTON TX 77036","77036","Middle-High School"
"214","YES PREP - BRAYS OAKS","9000 W BELLFORT ST HOUSTON TX 77031","77031","Middle-High School"
"215","YES PREP - NORTHSIDE","5215 JENSEN DR HOUSTON TX 77026","77026","Middle-High School"
"216","YES PREP - 5TH WARD","1305 BENSON ST HOUSTON TX 77020","77020","Middle-High School"
"217","YES PREP - WHITE OAK","5620 W TIDWELL HOUSTON TX 77091","77091","Middle-High School"
"218","YES PREP NORTH FOREST","6602 WINFIELD RD HOUSTON TX 77050","77050","Middle-High School"
"219","YES PREP - SOUTHSIDE","5515 S LOOP E HOUSTON TX 77033","77033","Middle-High School"
"220","YES PREP - NORTHLINE","441 LITTLE YORK RD HOUSTON TX 77076","77076","Middle-High School"
"221","YES PREP - NORTHWEST","14741 YORKTOWN PLAZA DR HOUSTON TX 77040","77040","Middle-High School"
"222","YES PREP - HOBBY","8787 TALLYHO RD HOUSTON TX 77061","77061","Middle-High School"
"223","YES PREP - NORTH CENTRAL","13703 ALDINE-WESTFIELD RD HOUSTON TX 77039","77039","Middle-High School"
"224","SOUTHEAST EL","507 CRENSHAW RD HOUSTON TX 77034","77034","Elementary School"
"225","NORTH CENTRAL EL","1900 STRAWN RD HOUSTON TX 77039","77039","Elementary School"
"226","NORTH FOREST EL","6602 WINFIELD ROAD BLDG A HOUSTON TX 77050","77050","Elementary School"
"227","SOUTHSIDE EL","5515 S LOOP E STE B HOUSTON TX 77033","77033","Elementary School"
"228","YES PREP EAST END EL","8329 LAWNDALE ST HOUSTON TX 77012","77012","Elementary School"
"229","YES PREP AIRLINE EL","5815 AIRLINE DR HOUSTON TX 77076","77076","Elementary School"
"230","HARMONY SCIENCE ACADEMY-HOUSTON","9431 W SAM HOUSTON PKWY S HOUSTON TX 77099","77099","High School"
"231","HARMONY SCHOOL OF INNOVATION - HOUSTON","9421 W SAM HOUSTON PKWY S HOUSTON TX 77099","77099","Middle School"
"232","HARMONY SCHOOL OF INGENUITY-HOUSTON","10555 STELLA LINK RD HOUSTON TX 77025","77025","Middle-High School"
"233","HARMONY SCHOOL OF FINE ARTS AND TECHNOLOGY-HOUSTON","9115 KIRBY DR HOUSTON TX 77054","77054","Elementary-Middle School"
"234","HARMONY VIRTUAL ACADEMY","5435 S BRAESWOOD BLVD HOUSTON TX 77096","77096","K-12 School"
"235","HARMONY SCHOOL OF EXPLORATION- HOUSTON","9305 W SAM HOUSTON PKWY S HOUSTON TX 77099","77099","Elementary School"
"236","BEATRICE MAYES INSTITUTE CHARTER SCHOOL","5807 CALHOUN RD HOUSTON TX 77021","77021","Elementary-Middle School"
"237","ACCELERATED INT CHARTER SCHOOL","12825 SUMMIT RDG DR HOUSTON TX 77085","77085","Middle School"
"238","ACCELERATED INTERDISCIPLINARY ACAD","12825 SUMMIT RDG DR HOUSTON TX 77085","77085","Elementary-Middle School"
"239","RIPLEY HOUSE MIDDLE CAMPUS","4410 NAVIGATION BLVD HOUSTON TX 77011","77011","Middle School"
"240","RIPLEY HOUSE CHARTER SCHOOL","4410 NAVIGATION BLVD HOUSTON TX 77011","77011","Elementary School"
"241","NCI CHARTER SCHOOL WITHOUT WALLS","6565 ROOKIN ST HOUSTON TX 77074","77074","Elementary School"
"242","BAKER-RIPLEY CHARTER SCHOOL","6500 ROOKIN ST BLDG A HOUSTON TX 77074","77074","Elementary-Middle School"
"243","MEYERPARK EL","13663 S MAIN ST HOUSTON TX 77035","77035","Elementary-Middle School"
"244","DRAW ACADEMY","3920 STONEY BROOK DR HOUSTON TX 77063","77063","Elementary-Middle School"
"245","HARMONY SCHOOL OF EXCELLENCE-HOUSTON","7340 N GESSNER DR HOUSTON TX 77040","77040","K-12 School"
"246","HARMONY SCHOOL OF ENDEAVOR-HOUSTON","5668 W LITTLE YORK RD HOUSTON TX 77091","77091","Elementary-Middle School"
"247","HARMONY SCHOOL OF ADVANCEMENT-HOUSTON","3171 N SAM HOUSTON PKWY W HOUSTON TX 77038","77038","High School"
"248","HARMONY SCHOOL OF DISCOVERY - HOUSTON","6270 BARKER CYPRESS RD HOUSTON TX 77084","77084","Middle-High School"
"249","HARMONY SCHOOL OF TECHNOLOGY-HOUSTON","3203 N SAM HOUSTON PKWY W HOUSTON TX 77038","77038","Middle School"
"250","HARMONY SCHOOL OF ACHIEVEMENT - HOUSTON","16209 KEITH HARROW BLVD HOUSTON TX 77084","77084","Elementary School"
"251","HARMONY SCHOOL OF ENRICHMENT - HOUSTON","3207 N SAM HOUSTON PKWY W HOUSTON TX 77038","77038","Elementary School"
"252","HARMONY SCIENCE ACADEMY - CYPRESS","7047 GREENHOUSE RD CYPRESS TX 77433","77433","Elementary School"
"253","HARMONY SCHOOL OF EXCELLENCE - KATY","22855 ELYSON FALLS DR KATY TX 77449","77449","Elementary-Middle School"
"254","STEP CHARTER EL","11250 S WILCREST DR HOUSTON TX 77099","77099","Elementary-Middle School"
"255","STEP CHARTER II","8282 BISSONNET ST HOUSTON TX 77074","77074","Elementary-Middle School"
"256","THE RHODES SCHOOL - NORTHSHORE CAMPUS","13334 WALLISVILLE RD BUILDINGS B-H HOUSTON TX 77049","77049","Elementary-Middle School"
"257","THE RHODES SCHOOL - HUMBLE","600 CHARLES ST HUMBLE TX 77338","77338","Elementary-Middle School"
"258","HARMONY SCIENCE ACADEMY-KATY","22400 GRAND CORNER DR KATY TX 77494","77494","K-12 School"
"259","THE LAWSON ACADEMY","5052 SCOTT ST HOUSTON TX 77004","77004","Elementary-Middle School"
"260","THE PRO-VISION ACADEMY","4590 WILMINGTON HOUSTON TX 77051","77051","High School"
"261","PRO-VISION MIDDLE","4590 WILMINGTON ST HOUSTON TX 77051","77051","Middle-High School"
"262","BETA ACADEMY","10929 ALMEDA GENOA RD HOUSTON TX 77034","77034","Middle-High School"
